E (eV)	eps1 	eps2 		
3.1204	8.8688	0.009442
3.1158	8.8539	0.0090358
3.1112	8.8391	0.008646
3.1066	8.8245	0.0082722
3.1021	8.81	0.0079136
3.0975	8.7958	0.0075705
3.093	8.7817	0.0072422
3.0885	8.7678	0.0069267
3.084	8.754	0.0066248
3.0795	8.7404	0.0063355
3.075	8.727	0.0060587
3.0705	8.7137	0.0057929
3.0661	8.7005	0.0055387
3.0617	8.6875	0.0052957
3.0572	8.6746	0.0050623
3.0528	8.6619	0.0048392
3.0485	8.6494	0.0046274
3.0441	8.6371	0.0044245
3.0398	8.6248	0.00423
3.0354	8.6127	0.0040438
3.0311	8.6007	0.0038658
3.0268	8.5888	0.0036949
3.0225	8.577	0.0035317
3.0183	8.5654	0.0033757
3.014	8.5539	0.003226
3.0098	8.5425	0.003083
3.0055	8.5312	0.0029458
3.0013	8.52	0.0028148
2.9971	8.5089	0.0026896
2.9929	8.4979	0.0025696
2.9887	8.4871	0.002455
2.9845	8.4763	0.002345
2.9803	8.4656	0.0022401
2.9761	8.4551	0.0021397
2.972	8.4446	0.0020437
2.9679	8.4342	0.001952
2.9637	8.4239	0.0018641
2.9596	8.4138	0.0017803
2.9555	8.4037	0.0017001
2.9514	8.3937	0.0016234
2.9474	8.3838	0.00155
2.9433	8.3739	0.0014799
2.9392	8.3642	0.0014129
2.9352	8.3545	0.001349
2.9311	8.345	0.0012877
2.9271	8.3355	0.0012293
2.9231	8.3261	0.0011735
2.9191	8.3168	0.0011201
2.9151	8.3075	0.0010691
2.9111	8.2984	0.0010204
2.9072	8.2893	9.7381E-4
2.9032	8.2803	9.2933E-4
2.8993	8.2713	8.8683E-4
2.8953	8.2625	8.4633E-4
2.8914	8.2537	8.0755E-4
2.8875	8.245	7.706E-4
2.8836	8.2363	7.3521E-4
2.8797	8.2278	7.0151E-4
2.8758	8.2193	6.6923E-4
2.8719	8.2108	6.385E-4
2.8681	8.2025	6.0914E-4
2.8642	8.1942	5.8111E-4
2.8604	8.1859	5.5428E-4
2.8565	8.1778	5.2874E-4
2.8527	8.1697	5.0435E-4
2.8489	8.1617	4.8107E-4
2.8451	8.1537	4.5885E-4
2.8413	8.1458	4.3764E-4
2.8375	8.1379	4.1739E-4
2.8338	8.1301	3.9807E-4
2.83	8.1224	3.7963E-4
2.8263	8.1147	3.6203E-4
2.8225	8.1071	3.452E-4
2.8188	8.0996	3.2918E-4
2.8151	8.0921	3.139E-4
2.8114	8.0846	2.9931E-4
2.8077	8.0772	2.854E-4
2.804	8.0699	2.7213E-4
2.8003	8.0626	2.5947E-4
2.7966	8.0554	2.4736E-4
2.7929	8.0483	2.3584E-4
2.7893	8.0411	2.2485E-4
2.7856	8.0341	2.1435E-4
2.782	8.0271	2.0435E-4
2.7784	8.0201	1.9482E-4
2.7748	8.0132	1.8571E-4
2.7712	8.0063	1.7702E-4
2.7676	7.9995	1.6876E-4
2.764	7.9928	1.6086E-4
2.7604	7.986	1.5332E-4
2.7568	7.9794	1.4614E-4
2.7533	7.9727	1.393E-4
2.7497	7.9662	1.3277E-4
2.7462	7.9596	1.2655E-4
2.7427	7.9532	1.2062E-4
2.7391	7.9467	1.1496E-4
2.7356	7.9403	1.0956E-4
2.7321	7.934	1.0442E-4
2.7286	7.9277	9.9513E-5
2.7251	7.9214	9.4848E-5
2.7217	7.9152	9.0388E-5
2.7182	7.909	8.6139E-5
2.7147	7.9029	8.2089E-5
2.7113	7.8968	7.823E-5
2.7078	7.8907	7.4552E-5
2.7044	7.8847	7.1038E-5
2.701	7.8787	6.7699E-5
2.6976	7.8728	6.4509E-5
2.6941	7.8669	6.1469E-5
2.6907	7.861	5.8573E-5
2.6874	7.8552	5.5814E-5
2.684	7.8494	5.3186E-5
2.6806	7.8437	5.0675E-5
2.6772	7.838	4.8289E-5
2.6739	7.8323	4.601E-5
2.6705	7.8267	4.3839E-5
2.6672	7.8211	4.1771E-5
2.6638	7.8155	3.9802E-5
2.6605	7.81	3.7926E-5
2.6572	7.8045	3.6134E-5
2.6539	7.7991	3.4432E-5
2.6506	7.7937	3.2806E-5
2.6473	7.7883	3.1257E-5
2.644	7.7829	2.9778E-5
2.6408	7.7776	2.8374E-5
2.6375	7.7723	2.7032E-5
2.6342	7.7671	2.5759E-5
2.631	7.7618	2.4542E-5
2.6277	7.7566	2.338E-5
2.6245	7.7515	2.2277E-5
2.6213	7.7464	2.1223E-5
2.6181	7.7413	2.0223E-5
2.6148	7.7362	1.9265E-5
2.6117	7.7312	1.8356E-5
2.6085	7.7262	1.749E-5
2.6053	7.7212	1.6662E-5
2.6021	7.7163	1.5875E-5
2.5989	7.7114	1.5125E-5
2.5958	7.7065	1.4411E-5
